               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,             0.01578,           0.0035708,                   0,             0.99966,                   1,               0.995,             0.90822,           0.0097639,           0.0016109,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.015065,           0.0037926,                   0,              0.9997,                   1,               0.995,             0.89588,           0.0097274,           0.0016506,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.015318,            0.003652,                   0,             0.99957,                   1,               0.995,             0.89988,            0.009731,           0.0016476,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.015528,           0.0040565,                   0,             0.99976,                   1,               0.995,             0.89356,            0.010414,           0.0017056,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.015463,           0.0038273,                   0,              0.9998,                   1,               0.995,             0.89702,            0.010158,           0.0016438,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.015119,            0.003886,                   0,             0.99973,                   1,               0.995,             0.90552,           0.0099153,           0.0015907,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.014287,           0.0035756,                   0,             0.99975,                   1,               0.995,             0.91735,           0.0092177,           0.0016085,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.014373,           0.0034164,                   0,             0.99976,                   1,               0.995,             0.91876,           0.0089536,           0.0015924,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.015286,           0.0036704,                   0,             0.99974,                   1,               0.995,             0.91059,           0.0092412,           0.0015473,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.014559,           0.0035127,                   0,             0.99975,                   1,               0.995,             0.89786,           0.0094908,           0.0015628,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.013855,            0.003511,                   0,             0.99972,                   1,               0.995,             0.90852,           0.0096978,           0.0016014,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.014656,           0.0032548,                   0,             0.99972,                   1,               0.995,             0.91677,            0.009215,           0.0015598,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.015215,           0.0039951,                   0,             0.99975,                   1,               0.995,             0.89813,            0.010047,           0.0016608,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.014072,           0.0032394,                   0,             0.99971,                   1,               0.995,             0.90754,           0.0094006,           0.0016216,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.014835,           0.0038749,                   0,             0.99968,                   1,               0.995,             0.91961,            0.008963,           0.0015583,                   0,            0.002476,            0.002476,            0.002476
                 154,             0.01454,           0.0037549,                   0,             0.99976,                   1,               0.995,             0.91423,           0.0091285,           0.0015439,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.014053,           0.0036049,                   0,             0.99975,                   1,               0.995,             0.92252,           0.0092525,           0.0015437,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.013258,           0.0029172,                   0,             0.99973,                   1,               0.995,             0.92265,            0.008654,           0.0015319,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.014131,            0.003614,                   0,             0.99973,                   1,               0.995,               0.931,           0.0084081,           0.0014929,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.013094,           0.0034143,                   0,             0.99974,                   1,               0.995,             0.92393,           0.0088917,           0.0015115,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.013373,           0.0032551,                   0,             0.99974,                   1,               0.995,              0.9199,           0.0090182,           0.0015633,                   0,            0.002179,            0.002179,            0.002179
                 160,             0.01378,           0.0034726,                   0,             0.99974,                   1,               0.995,             0.92009,           0.0089379,           0.0015504,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.014053,           0.0036791,                   0,             0.99975,                   1,               0.995,             0.92411,           0.0084769,           0.0015168,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.013195,             0.00332,                   0,             0.99976,                   1,               0.995,             0.92382,           0.0084968,           0.0015116,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,            0.013541,           0.0034165,                   0,             0.99975,                   1,               0.995,             0.91631,           0.0085268,           0.0015145,                   0,            0.001981,            0.001981,            0.001981
